Estacion    plA    plB    plC    plD    dcaudal
1    10    64    150    3    4.9
3    140    135    2    10    146.5
4    110    20    10    50    72.5
3    105    62    20    10    88.4
3    40    30    55    20    30.0
1    20    26    20    160    13.1
3    70    90    17    20    54.9
2    150    50    28    15    93.6
4    70    80    30    20    45.8
4    70    59    27    35    52.3
2    80    76    10    70    42.7
4    15    280    175    7    10.0
4    115    50    50    20    71.1
2    45    43    51    60    30.0
2    40    32    50    100    25.9
2    50    52    42    85    27.0
2    75    90    22    68    48.1
2    75    114    24    50    46.8
1    110    101    39    30    41.9
1    70    120    17    96    29.1
2    85    35    41    115    47.8
2    40    64    67    83    26.2
3    90    68    25    100    66.7
4    40    70    60    93    27.7
3    190    110    5    160    182.7
2    23    45    60    280    13.7
3    17    380    45    60    12.8
4    70    180    100    15    47.9
1    20    70    270    50    9.8
1    82    145    13    125    38.2
2    54    85    47    90    36.4
4    40    102    80    60    28.7
1    65    105    30    100    32.8
4    170    42    100    30    125.8
2    120    113    106    15    80.1
2    54    40    72    140    29.0
1    50    74    320    20    19.7
2    75    135    43    60    50.4
1    40    92    80    90    21.5
2    145    137    45    30    86.4
2    70    380    17    60    41.0
4    170    140    17    70    131.9
1    80    106    58    60    42.9
4    75    80    63    80    46.0
2    80    82    35    135    44.3
2    125    83    60    50    70.3
1    10    53    230    260    4.3
4    45    45    160    100    26.4
1    100    76    30    150    53.2
2    45    74    56    200    27.2
4    85    86    55    100    55.6
4    120    64    70    75    87.4
1    37    64    156    115    19.4
2    40    70    130    125    24.7
1    45    520    31    65    25.1
3    60    100    95    84    44.6
1    74    73    65    140    41.4
1    140    130    40    68    70.8
2    75    64    80    130    39.5
4    35    30    150    320    21.8
4    100    148    40    90    71.8
4    40    84    110    150    26.1
2    60    50    160    130    33.5
1    47    64    50    440    25.5
4    530    210    12    50    409.2
1    115    83    50    140    63.0
4    110    144    40    115    79.7
3    172    98    88    52    136.0
2    6    174    293    260    3.6
2    175    115    39    102    97.0
1    155    142    40    100    85.0
3    95    53    118    150    77.5
3    68    72    160    120    45.2
4    210    193    35    70    157.7
2    20    142    257    137    12.2
1    168    96    47    135    100.7
2    170    42    116    135    83.1
1    35    236    78    190    15.8
2    235    257    10    215    132.8
1    65    83    120    220    32.1
4    55    120    90    240    39.8
4    65    160    70    215    46.6
4    145    110    56    200    91.3
1    65    156    55    340    30.4
2    125    170    86    105    78.9
1    94    72    180    160    55.6
2    115    95    100    180    76.7
2    95    140    90    165    55.2
4    220    82    185    60    153.2
4    70    242    60    200    45.5
1    165    115    106    105    78.5
1    70    106    285    100    27.9
2    200    200    26    210    132.7
3    80    74    268    140    52.9
1    120    93    50    400    62.8
2    200    282    20    210    105.2
3    95    180    126    110    78.8
2    255    270    15    245    152.5
4    130    143    60    230    103.8
3    425    185    12    290    383.1
1    150    42    110    410    75.3
1    125    82    145    200    57.3
4    125    126    150    130    96.9
3    200    257    100    60    127.9
2    300    143    90    80    220.2
2    335    333    170    17    192.7
4    120    134    120    180    72.2
1    130    147    140    130    60.1
2    285    95    130    100    166.9
1    95    113    152    235    53.5
1    170    200    46    255    87.5
4    75    175    170    195    49.9
2    180    156    90    185    128.4
2    165    235    115    110    85.3
4    260    94    88    245    165.9
4    310    362    42    120    222.7
2    125    163    70    425    64.1
1    80    125    155    410    44.9
2    120    352    110    140    68.5
4    175    148    133    195    124.6
1    75    207    210    210    39.8
4    150    220    145    145    117.0
4    350    274    20    365    234.8
4    200    230    40    400    124.3
4    100    146    241    210    62.3
2    57    173    150    500    30.0
1    145    203    155    170    68.1
4    110    192    170    220    73.8
4    75    218    254    195    50.8
2    160    124    345    120    102.2
4    590    90    121    130    413.3
1    50    146    297    410    27.6
2    175    236    105    210    99.4
